Date,Population,T avg C,D.P avg C,humidity,Average wind speed(Kmh),Ppt avg (in),water consumption(m3)
3/7/year 1,3554,15.55555556,2.222222222,45.5,47.7652112,0,1487.363297
3/8/year 1,3554,16.11111111,3.888888889,46,47.9100518,0,1471.540283
3/9/year 1,3554,13.33333333,3.333333333,54,48.0790325,0,1220.037643
3/10/year 1,2789,14.44444444,1.666666667,44.5,48.1514528,0,1201.716259
3/11/year 1,2789,16.66666667,1.666666667,43.5,48.2882467,0,2884.406712
3/12/year 1,3554,15.55555556,2.777777778,47.5,48.2641066,0,1362.444767
3/13/year 1,3554,12.77777778,6.666666667,71.5,48.3365269,0,1379.100571
3/14/year 1,3554,14.44444444,5,57.5,48.3848071,0,1359.870688
3/15/year 1,3554,16.66666667,3.333333333,49,48.2480132,0,1366.608718
3/16/year 1,3554,20,6.111111111,45.5,48.1755929,0,1162.347995
3/17/year 1,2789,20,7.222222222,45.5,48.1031726,0,1080.96168
3/18/year 1,2789,22.22222222,10,51.5,48.1273127,0,1125.93235
3/19/year 1,3554,22.77777778,11.66666667,48.5,47.8859117,0,1325.499166
3/20/year 1,3554,16.66666667,1.111111111,53,47.9824721,0,1404.349256
3/21/year 1,3554,16.66666667,1.111111111,41.5,48.2238731,0,1391.743841
3/22/year 1,3554,17.77777778,4.444444444,49,48.4330873,0,1240.97096
3/23/year 1,3554,21.11111111,6.111111111,46,48.2721533,0,1163.559326
3/24/year 1,2789,22.22222222,6.111111111,38,48.2882467,0,1173.060705
3/25/year 1,2789,20,8.888888889,50.5,48.199733,0,1207.167249
3/26/year 1,3554,21.11111111,10.55555556,57,48.2480132,0,1124.796727
3/27/year 1,3554,20,8.333333333,53,48.3123868,0,1216.630774
3/28/year 1,3554,21.11111111,8.333333333,47.5,48.4250406,0,1212.845364
3/29/year 1,3554,22.77777778,8.333333333,48,48.2399665,0,1279.165747
3/30/year 1,3554,23.88888889,8.333333333,43.5,48.0066122,0,1314.142936
3/31/year 1,2789,23.33333333,11.66666667,46.5,48.1755929,0,1311.644565
4/1/year 1,2789,25.55555556,11.11111111,45,48.199733,0,1294.155971
4/2/year 1,3554,26.11111111,12.22222222,42.5,48.2238731,0,1293.323181
4/3/year 1,3554,25.55555556,11.66666667,46.5,48.2641066,0,1283.329698
4/4/year 1,3554,26.66666667,10,41,48.1273127,0,1037.656589
4/5/year 1,3554,25.55555556,8.333333333,37,48.0066122,0,1254.284247
4/6/year 1,3554,25.55555556,9.444444444,40,48.0066122,0,1033.492638
4/7/year 1,2789,25.55555556,10,41,47.9824721,0,1013.505673
4/8/year 1,2789,25.55555556,10.55555556,42,47.9824721,0,1027.663107
4/9/year 1,3554,26.66666667,11.66666667,37,47.958332,0,1024.331946
4/10/year 1,3554,23.88888889,13.88888889,60,47.9341919,0,1010.174513
4/11/year 1,3554,22.22222222,12.22222222,53,47.958332,0,1049.315652
4/12/year 1,3554,21.66666667,12.22222222,52.5,47.9663787,0,1339.126642
4/13/year 1,3554,23.88888889,8.333333333,38.5,48.0227056,0,1332.46432
4/14/year 1,2789,23.33333333,8.888888889,43.5,48.1434061,0,1334.962691
4/15/year 1,2789,22.77777778,9.444444444,42,48.0951259,0,1339.126642
4/16/year 1,3554,24.44444444,12.22222222,50,48.0468457,0.08,1303.316663
4/17/year 1,3554,23.88888889,12.22222222,47.5,47.8939584,0,1289.99202
4/18/year 1,3554,25,12.77777778,44,47.877865,0,1373.27104
4/19/year 1,3554,25.55555556,12.77777778,46.5,48.0146589,0.12,1304.982243
4/20/year 1,3554,26.66666667,15,54.5,48.0629391,0.24,1283.329698
4/21/year 1,2789,24.44444444,15.55555556,59,48.1434061,0.24,1298.319922
4/22/year 1,2789,22.22222222,13.88888889,66,47.958332,0.12,1150.083266
4/23/year 1,3554,23.33333333,13.88888889,60,47.877865,0.24,1170.070231
4/24/year 1,3554,24.44444444,13.88888889,53.5,47.9100518,0,1308.313404
4/25/year 1,3554,20.55555556,13.33333333,67,47.9905188,0,1125.93235
4/26/year 1,3554,23.33333333,14.44444444,52,48.0870792,0,1184.227664
4/27/year 1,3554,23.88888889,14.44444444,55.5,47.958332,0,1261.677153
4/28/year 1,2789,23.88888889,14.44444444,55,47.877865,0,1245.854139
4/29/year 1,2789,24.44444444,12.77777778,54.5,47.8376315,0,1270.005055
4/30/year 1,3554,22.77777778,12.22222222,54,47.8859117,0.12,1265.841104
5/1/year 1,3554,22.22222222,10.55555556,52.5,47.9824721,0,1149.553309
5/2/year 1,3554,22.22222222,9.444444444,47,47.9905188,0,1268.339475
